epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.1519091165715998,1.1519091165715998,0.0,90.3,0.001,9.113752100005513
2,0.35607643590840427,0.35607643590840427,0.0,93.28,0.001,8.324933099996997
3,0.28464734106063844,0.28464734106063844,0.0,93.94,0.001,8.286017100006575
4,0.2529147758765654,0.2529147758765654,0.0,94.48,0.001,8.295141700014938
5,0.23405115863193166,0.23405115863193166,0.0,94.58,0.001,8.250401400000555
6,0.2206109708222476,0.2206109708222476,0.0,94.88,0.001,8.312627600011183
7,0.20728670118071815,0.20728670118071815,0.0,95.06,0.001,8.23507840000093
8,0.19990516179258172,0.19990516179258172,0.0,95.02,0.001,8.269016900012502
9,0.19263104309385473,0.19263104309385473,0.0,95.3,0.001,8.283126599999378
10,0.18739600238149817,0.18739600238149817,0.0,95.48,0.001,8.245480299985502
11,0.17702991900444032,0.17702991900444032,0.0,95.36,0.0003,8.35433109998121
12,0.1757051170609214,0.1757051170609214,0.0,95.46,0.0003,8.261334900016664
13,0.17413469672636553,0.17413469672636553,0.0,95.36,0.0003,8.195366400002968
14,0.17257664920850233,0.17257664920850233,0.0,95.58,0.0003,8.264540400006808
15,0.17123295508081263,0.17123295508081263,0.0,95.3,0.0003,8.224255300010554
16,0.17054920451641084,0.17054920451641084,0.0,95.34,0.0003,8.294230100000277
17,0.16890033760721032,0.16890033760721032,0.0,95.3,0.0003,8.317855500004953
18,0.16657222040783276,0.16657222040783276,0.0,95.42,0.0003,8.23667040001601
19,0.16663723742094907,0.16663723742094907,0.0,95.16,0.0003,8.250856400001794
20,0.1641918835813349,0.1641918835813349,0.0,95.56,0.0003,8.273408000008203
