epoch,train_loss,train_ce_loss,validation_accuracy,learning_rate,elapsed_seconds
1,0.48450460204644635,0.48450460204644635,95.98,0.001,6.48549869999988
2,0.14329910497665405,0.14329910497665405,97.58,0.001,5.386881900019944
3,0.0955131173805757,0.0955131173805757,98.12,0.001,5.411387800006196
4,0.07560685108033094,0.07560685108033094,98.14,0.001,5.492081800010055
5,0.06257397469607266,0.06257397469607266,98.38,0.001,5.275099300022703
6,0.05479432064945047,0.05479432064945047,98.54,0.001,5.425931799982209
7,0.04821270565336401,0.04821270565336401,98.42,0.001,6.3061699999962
8,0.04500096003846689,0.04500096003846689,98.58,0.001,6.20295210002223
9,0.039455448467081246,0.039455448467081246,98.48,0.001,6.220487399958074
10,0.03676262593594464,0.03676262593594464,98.5,0.001,6.163457700051367
11,0.02807038606188514,0.02807038606188514,98.74,0.0003,6.143440300016664
12,0.026484147518873215,0.026484147518873215,98.76,0.0003,6.220632900018245
13,0.02558278240317648,0.02558278240317648,98.74,0.0003,5.367443399969488
14,0.024494869188016112,0.024494869188016112,98.72,0.0003,5.190343800000846
15,0.023911141526699067,0.023911141526699067,98.82,0.0003,5.1387884999858215
16,0.022994054846601053,0.022994054846601053,98.6,0.0003,5.1188497000257485
17,0.02220299764221365,0.02220299764221365,98.7,0.0003,5.135206500010099
18,0.021479627688093618,0.021479627688093618,98.74,0.0003,5.485393500013743
19,0.020936120490458877,0.020936120490458877,98.68,0.0003,6.049423500022385
20,0.019646347762237896,0.019646347762237896,98.7,0.0003,5.969889300002251
