epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.185413622752103,1.1800229418754578,0.5390677792462436,90.6,0.001,7.752844000002369
2,0.3681036229090257,0.36010153395045885,0.800208829836412,93.1,0.001,7.05953669999144
3,0.2988927505059676,0.290829438382929,0.8063312132055109,93.68,0.001,6.964239900000393
4,0.26509665013009853,0.2569780550761656,0.8118595329197971,94.28,0.001,6.963086100004148
5,0.2462737399708141,0.23813407595157624,0.8139663853905418,94.76,0.001,7.0414244000276085
6,0.23221050851995295,0.22407270339185542,0.8137805854450573,94.76,0.001,6.98350569998729
7,0.22100198714082891,0.21288223321654579,0.8119754556482488,94.68,0.001,6.979219800006831
8,0.21287888313856992,0.20475538795644588,0.81234951134595,94.74,0.001,6.9514280000003055
9,0.20621162810542368,0.19812655471888455,0.8085074243892323,95.3,0.001,7.004585799993947
10,0.19903885673176158,0.1909852991104126,0.8053557718537071,95.16,0.001,6.9803686999948695
11,0.18900594830946488,0.18093778547807174,0.8068163218931719,95.04,0.0003,6.912999499996658
12,0.18686035827940162,0.1787873230565678,0.8073035461339083,95.38,0.0003,6.896166499995161
13,0.18484986092177305,0.1767926922603087,0.8057169143156572,95.14,0.0003,7.097311699995771
14,0.18385233950398186,0.17580973755229604,0.8042602342172103,95.1,0.0003,7.0120566000114195
15,0.18251885682886296,0.17447045287002216,0.8048403698921204,95.26,0.0003,7.061901300010504
16,0.1808294899485328,0.17279270340095867,0.8036786976727572,95.14,0.0003,6.9706731000042055
17,0.1799985141255639,0.1719461805972186,0.805233429145813,95.2,0.0003,7.0300698000064585
18,0.17756691336089914,0.16953834399310025,0.8028569511066783,95.26,0.0003,7.001675999985309
19,0.17668062773401086,0.16864369348612698,0.8036934675736861,95.28,0.0003,7.005107899982249
20,0.1750842861847444,0.16708871277028864,0.7995573929353194,95.38,0.0003,7.001931600010721
