epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,2.1443032669760966,2.1370706590999258,0.07232610379999334,74.94,0.001,11.601602799957618
2,0.5733527101083236,0.5356512742042542,0.37701437536586413,90.44,0.001,9.778312299982645
3,0.4045913359338587,0.3668770248716528,0.37714311258576133,91.76,0.001,10.13093610003125
4,0.35981808355071326,0.3235735360037197,0.36244548004757277,92.36,0.001,9.627456400019582
5,0.3348249745759097,0.29988617750948127,0.34938797408017247,93.26,0.001,9.778377500013448
6,0.31602196813496675,0.28142626633210616,0.34595701407085766,93.3,0.001,9.305462899967097
7,0.3041255565469915,0.2699339803782376,0.341915759082274,93.18,0.001,8.436564700037707
8,0.2960268069484017,0.26212124507427215,0.33905561222163116,93.24,0.001,8.433538399985991
9,0.2870517319722609,0.2534226333878257,0.33629097345525566,93.52,0.001,8.320470799983013
10,0.279583374933763,0.2462568210103295,0.3332655388615348,93.76,0.001,9.656617700005881
11,0.2677512221553109,0.23475659027749843,0.32994631471200425,93.7,0.0003,9.806643999996595
12,0.26635395767038517,0.23349891077821905,0.32855046392787585,94.08,0.0003,9.635007400007453
13,0.26285922350883484,0.2301555774905465,0.32703646371581335,94.3,0.0003,9.763053799979389
14,0.26110852781209076,0.22848589433539998,0.32622633020661096,93.94,0.0003,8.317405299982056
15,0.2592687180735848,0.2268389836874875,0.324297332945737,93.88,0.0003,8.026153599959798
16,0.25618402658159084,0.22373092943321574,0.3245309632994912,94.3,0.0003,8.00291089998791
17,0.25354543576674027,0.22110584485314108,0.32439588996713814,93.94,0.0003,8.528733899991494
18,0.25110339123985986,0.21871627861152995,0.3238711300979961,94.16,0.0003,9.312591699999757
19,0.2485151125387712,0.21632791671536186,0.32187195777459576,94.16,0.0003,9.446229699999094
20,0.2463812862959775,0.21420822271217,0.32173062388680196,94.48,0.0003,9.359447200025897
