epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.2506365679134022,1.2369748881513423,0.4553893351641568,90.2,0.001,7.786975199996959
2,0.3834995624845678,0.3629121279976585,0.6862478247642517,92.66,0.001,6.999023800017312
3,0.3141207543199713,0.29400893157178704,0.6703941196441651,93.56,0.001,7.036359399993671
4,0.2831539071906697,0.2635255875067277,0.6542773312481966,94.18,0.001,6.991957999998704
5,0.264463274604624,0.24526838835152712,0.639829538562081,94.26,0.001,6.977611100010108
6,0.24855491633415222,0.22981033073338594,0.6248195484854958,94.64,0.001,7.0090541999961715
7,0.23534078653942456,0.21694414057514885,0.6132215375986966,94.7,0.001,7.039659000001848
8,0.22580004895166916,0.20772374106320468,0.6025436145522378,94.9,0.001,6.986379500012845
9,0.21848266003565356,0.20065833666758104,0.5941441158814864,95.0,0.001,7.102535499987425
10,0.21223259985013443,0.1944688515251333,0.5921249431263317,95.16,0.001,6.9936371999792755
11,0.20253095149560407,0.1849844343770634,0.5848839532245289,95.12,0.0003,6.969119399989722
12,0.20037135563763706,0.1828206587748094,0.5850232204003768,95.16,0.0003,6.980949000018882
13,0.19833599360422655,0.18081303350491956,0.5840986758665605,95.24,0.0003,7.01362800001516
14,0.19676469320383938,0.17924084215814418,0.58412837675268,95.38,0.0003,6.940388899995014
15,0.19555794527747414,0.17810201334736564,0.5818644195036454,95.32,0.0003,7.019874300021911
16,0.1945088769305836,0.17717301294586876,0.5778621487790888,95.02,0.0003,7.039704800001346
17,0.1926330771662972,0.17529765307686546,0.5778475021449002,95.06,0.0003,6.996833200013498
18,0.1919211986736818,0.17470769399512898,0.5737834990328009,95.54,0.0003,7.061982099985471
19,0.1889017649195411,0.1717130538181825,0.5729570448875427,95.36,0.0003,7.070799100009026
20,0.18838202492540532,0.1712499120018699,0.5710704457109624,95.2,0.0003,7.061223800003063
