epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.2211180866501548,86.32,0.001,14.37280319997808
2,0.4823213298667561,89.06,0.001,13.498711200023536
3,0.4076461085622961,90.18,0.001,13.391220799996518
4,0.3693787557255138,91.02,0.001,13.403539999999339
5,0.3441044294574044,91.06,0.001,13.540552499995101
6,0.33157466681220316,91.04,0.001,13.483715399983339
7,0.3224627547307448,91.58,0.001,13.363769299990963
8,0.31423881317485464,91.74,0.001,13.162320000003092
9,0.3137845813924616,91.96,0.001,13.113159300002735
10,0.3083540299502286,92.38,0.001,13.080763099977048
11,0.2955180215185339,92.26,0.0003,13.036620700004278
12,0.2935428022991527,91.88,0.0003,13.009943999990355
13,0.2922470911871303,92.4,0.0003,13.106468200014206
14,0.29128414924794976,92.06,0.0003,13.178919700003462
15,0.28885952273715626,92.36,0.0003,13.028344100021059
16,0.28596475852402775,92.46,0.0003,13.005215499986662
17,0.2834109443166039,92.68,0.0003,12.999611999985063
18,0.28698877673582596,92.48,0.0003,12.973892400012119
19,0.28165667394508015,92.76,0.0003,13.025142700003926
20,0.28315767125216396,92.5,0.0003,13.04527760000201
