epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.1711967601559379,86.98,0.001,17.832530499988934
2,0.4412256393042478,89.94,0.001,16.946004600002198
3,0.37514323504621333,90.3,0.001,16.908472899987828
4,0.34738060871904547,91.0,0.001,16.8768812000053
5,0.3255021559195085,91.58,0.001,15.249144400004297
6,0.31104788197604094,91.18,0.001,14.042913099983707
7,0.30284457832683215,91.82,0.001,16.822539599990705
8,0.29186967790343543,91.78,0.001,17.014612800005125
9,0.2849422792413018,91.54,0.001,16.970726500003366
10,0.27877888041409576,92.08,0.001,17.11919709999347
11,0.2667863548864018,92.02,0.0003,16.679088300006697
12,0.26499793167547747,91.94,0.0003,13.805441600008635
13,0.263732799764113,92.02,0.0003,16.609474099997897
14,0.26053035555319354,91.52,0.0003,16.58697459998075
15,0.2603201202609322,92.1,0.0003,16.485473200009437
16,0.2584080486167561,92.06,0.0003,16.556289100000868
17,0.2573246616450223,92.16,0.0003,16.636163499992108
18,0.25670124081264845,92.14,0.0003,16.536691600020276
19,0.2568381674636494,91.9,0.0003,15.952055800007656
20,0.25565273462642324,92.34,0.0003,16.247106499999063
