epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,0.7339737275166945,92.36,0.001,10.740422500006389
2,0.30900779335282064,94.08,0.001,9.683372999978019
3,0.24326955621459267,95.74,0.001,9.498375800001668
4,0.1991006858999079,96.28,0.001,9.47872310000821
5,0.16964464685049924,96.86,0.001,9.672962899989216
6,0.14806300948533144,97.06,0.001,9.899461599998176
7,0.13315532159588553,97.4,0.001,9.520772399991984
8,0.12144981464689428,97.54,0.001,10.265225000010105
9,0.111980314913663,97.58,0.001,9.864165900013177
10,0.10498340542749925,97.58,0.001,9.860879400017438
11,0.0955978267913515,97.76,0.0003,9.652193699992495
12,0.09357799116047946,97.8,0.0003,7.412990499986336
13,0.09191578608968042,97.68,0.0003,7.161538099986501
14,0.0901953929326751,97.76,0.0003,10.184665600012522
15,0.0882884368148717,97.96,0.0003,8.11444350000238
16,0.0867744312654842,97.9,0.0003,10.427803200000199
17,0.08537979125976562,97.98,0.0003,9.746294000011403
18,0.08384138855934144,97.88,0.0003,7.087520900007803
19,0.08243446878628297,97.96,0.0003,6.95036680001067
20,0.08110175295309587,97.78,0.0003,6.983780899987323
