epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.1475869465394453,87.74,0.001,15.70939120001276
2,0.4238387927835638,90.34,0.001,15.035042699979385
3,0.35967155690193175,90.86,0.001,15.010726700013038
4,0.3278112304384058,91.54,0.001,15.03580119999242
5,0.30732877033407036,91.86,0.001,15.054795300005935
6,0.2938140626864,91.78,0.001,15.004317299986724
7,0.28358988244316796,92.08,0.001,15.02240640000673
8,0.27526824065988714,92.14,0.001,15.064705600001616
9,0.2691558531284332,92.64,0.001,15.051966600003652
10,0.26306850241314284,92.94,0.001,15.028503299981821
11,0.25175988465222443,92.8,0.0003,15.012437199999113
12,0.24820333083759655,92.78,0.0003,15.01480969999102
13,0.24757588700164448,92.84,0.0003,15.081082400021842
14,0.24436688891757619,92.88,0.0003,15.075536999996984
15,0.24529207701683045,92.64,0.0003,15.067251000000397
16,0.24398238495913419,92.82,0.0003,15.22466649999842
17,0.241187129129063,93.28,0.0003,16.203109699999914
18,0.24194346335584468,92.74,0.0003,18.183205899986206
19,0.24109611086845398,93.0,0.0003,18.04070640000282
20,0.2387762081709775,92.82,0.0003,18.471782800013898
