epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.3249141356381502,86.24,0.001,23.676081899990095
2,0.5511741865114732,88.24,0.001,20.029480699973647
3,0.4751170054782521,89.1,0.001,20.022479699982796
4,0.43332374447909267,90.1,0.001,20.75275519999559
5,0.4087072433645075,90.14,0.001,23.10631130001275
6,0.39099522266387937,90.76,0.001,23.022640200011665
7,0.37468112669424575,90.78,0.001,20.065859800000908
8,0.36398255105452104,90.92,0.001,19.972391600022092
9,0.35507743611769244,91.48,0.001,19.963261700002477
10,0.34490865300351925,91.22,0.001,19.989238799986197
11,0.33410324866771696,91.78,0.0003,19.972174900001846
12,0.3285849753293124,91.36,0.0003,19.96509889999288
13,0.3263695766665719,91.38,0.0003,19.990993000013987
14,0.32428318804827605,91.6,0.0003,19.98143839999102
15,0.3218299315105785,91.7,0.0003,19.934605000016745
16,0.3184659771008925,91.8,0.0003,19.974253200023668
17,0.31651768641905353,91.58,0.0003,20.00065660002292
18,0.31304807911786164,91.56,0.0003,19.936171499983175
19,0.31050026247718115,91.64,0.0003,19.963091399986297
20,0.30869902987046677,91.92,0.0003,19.989014400023734
