epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.1740059816837312,89.92,0.001,14.14983690000372
2,0.37729317203001544,92.62,0.001,13.527941600012127
3,0.3040851912238381,93.62,0.001,13.534505100018578
4,0.2700123926487836,93.8,0.001,13.509278399986215
5,0.2505138173081658,94.4,0.001,13.520523200015305
6,0.2368149172002619,94.76,0.001,13.493565900018439
7,0.22633962192318657,94.64,0.001,13.499552799999947
8,0.2199413259224458,94.58,0.001,13.518487100023776
9,0.21202986625758086,94.82,0.001,13.583090700005414
10,0.20562035236141898,95.2,0.001,13.549755899992306
11,0.19612635556784544,95.08,0.0003,13.526186000002781
12,0.19255663720477711,95.4,0.0003,13.493085499998415
13,0.19094392511627892,95.08,0.0003,13.537750200019218
14,0.1891059158000079,95.16,0.0003,13.50436570000602
15,0.1879694648590955,95.34,0.0003,13.514123700006166
16,0.1861683799526908,95.44,0.0003,13.512516400020104
17,0.18382136598717083,95.16,0.0003,13.652248200000031
18,0.1828233932733536,95.26,0.0003,13.553460700000869
19,0.18225419638373636,95.42,0.0003,13.562646099977428
20,0.17996253460970793,95.22,0.0003,13.592264899984002
