epoch,train_loss,train_ce_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.3599630341811613,1.3475608892028983,94.08,0.001,8.796638200001325
2,0.23098896872563796,0.21120974958159708,95.78,0.001,8.345671400020365
3,0.17622481241659685,0.15790996153788134,96.78,0.001,7.999909399950411
4,0.14775147920088336,0.13031416072195226,97.12,0.001,8.143277600000147
5,0.13250380745801058,0.11545658351616427,97.42,0.001,8.083505899994634
6,0.11920961262096058,0.10234949322613802,97.7,0.001,8.194574099965394
7,0.11037731420560316,0.09372328036156567,97.74,0.001,7.570845099980943
8,0.10399787826429714,0.08757060854543339,97.3,0.001,7.1037226999760605
9,0.09967762061357498,0.08341206704919989,97.84,0.001,7.213651600002777
10,0.09470680536248467,0.07848960354219783,97.78,0.001,7.088057400018442
11,0.08646857991435311,0.07033543042594737,98.08,0.0003,7.121207099989988
12,0.08600171421441165,0.06985906949043275,97.9,0.0003,6.8818411999964155
13,0.08445733003833077,0.06835059085975993,97.76,0.0003,6.674026199965738
14,0.08318638573451476,0.0671132129701701,97.92,0.0003,6.99074889998883
15,0.08262400448755784,0.06652141227993098,97.92,0.0003,6.881516499968711
16,0.08106647996902466,0.06501894372484901,97.86,0.0003,7.207359399995767
17,0.08041463629115711,0.06441675309484655,98.0,0.0003,8.268342900031712
18,0.07948323104381562,0.0635789376768199,97.9,0.0003,8.161603200016543
19,0.0791447733651508,0.06315926876176488,97.54,0.0003,8.140177300025243
20,0.07735418515097012,0.061430597437511794,97.82,0.0003,8.059715199982747
