epoch,train_loss,train_ce_loss,validation_accuracy,learning_rate,elapsed_seconds
1,0.7378740465380929,0.7026748651851308,95.86,0.001,8.799154100008309
2,0.20320996028076518,0.16663073154146021,97.26,0.001,8.222187699982896
3,0.1568287116505883,0.12495542404218153,97.44,0.001,8.065077700011898
4,0.1356176919221878,0.10605679797909477,97.68,0.001,8.06344270001864
5,0.12376198510690169,0.09657723577347668,97.8,0.001,8.026885800005402
6,0.11273299698396162,0.0873279138174924,98.18,0.001,8.076451700006146
7,0.10446162426851012,0.08021294180859219,98.02,0.001,8.001431300013792
8,0.09788150541565635,0.07515528979680755,98.14,0.001,7.990601899975445
9,0.09276278783624822,0.0706908501159061,98.2,0.001,8.024251299968455
10,0.08786584869189695,0.0660561192653396,98.14,0.001,7.916662900010124
11,0.0820236308553002,0.06055677392591129,98.36,0.0003,8.004976399999578
12,0.08030546051372181,0.05909861514568329,98.44,0.0003,8.139113200013526
13,0.07855649495341561,0.05737776972380552,98.36,0.0003,8.101916199957486
14,0.07688141772638668,0.055809295351938765,98.34,0.0003,8.043838400044478
15,0.07606336995471608,0.055082383739948275,98.62,0.0003,8.10033139999723
16,0.07511784476962957,0.05416873117170551,98.42,0.0003,8.002455899957567
17,0.0736872384374792,0.05285000192631375,98.42,0.0003,8.083343099977355
18,0.0732246166586876,0.052366190733151005,98.56,0.0003,8.215732600016054
19,0.07229161972782829,0.05152624870647084,98.62,0.0003,8.07541210000636
20,0.0716845092849298,0.05098114447810433,98.48,0.0003,7.922091200016439
