epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.1793839552359147,85.44,0.001,23.30727640000987
2,0.5040416017879139,88.24,0.001,21.74071029998595
3,0.42447507781115446,90.36,0.001,21.48474460002035
4,0.39272565380443225,90.56,0.001,20.9541567999986
5,0.37417220960963854,91.36,0.001,19.97612909998861
6,0.3625342856537212,91.0,0.001,20.06402929997421
7,0.35986953006657685,90.82,0.001,20.424545299989404
8,0.3562646589539268,91.76,0.001,19.986852600006387
9,0.34559154187115754,90.66,0.001,23.869005499989726
10,0.34044413769028403,91.66,0.001,22.119393100001616
11,0.3131350077195601,91.98,0.0003,22.533542899996974
12,0.3145562017917633,91.46,0.0003,22.040794400003506
13,0.3171063182614066,92.0,0.0003,24.850187899981393
14,0.3146885359764099,91.54,0.0003,25.003930100006983
15,0.309624685569243,92.32,0.0003,24.336044499999844
16,0.3091941484928131,91.9,0.0003,22.540380599995842
17,0.30858554467721416,91.44,0.0003,20.38236990000587
18,0.30746279066259213,91.6,0.0003,19.5663809000107
19,0.3112061335260218,92.2,0.0003,21.50839959998848
20,0.30714926662878556,92.32,0.0003,21.444031299994094
