epoch,train_loss,test_accuracy,elapsed_seconds
1,1.2521489510218302,82.15,12.862324899993837
2,0.5374995587825775,85.24,13.521925399953034
3,0.4607108138243357,86.27,13.126244099985342
4,0.42448868370056153,86.49,14.187167699972633
5,0.4023984738747279,87.15,11.923735899967141
