epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.2656239089922472,86.4,0.001,12.756533600011608
2,0.49017339766242285,88.92,0.001,11.98947900001076
3,0.41995843350237066,89.9,0.001,11.922710000013467
4,0.38425894392620435,90.4,0.001,11.89125739998417
5,0.3651129536845467,90.68,0.001,11.928744700009702
6,0.3493656369599429,91.0,0.001,11.898720400000457
7,0.33916095416329123,91.0,0.001,11.942159199999878
8,0.3294750856182792,91.44,0.001,11.870711600000504
9,0.32143120877092535,90.92,0.001,11.909830799995689
10,0.31616825466156007,91.6,0.001,11.902033999998821
11,0.30335051747668873,91.18,0.0003,11.988376599998446
12,0.29986764610030436,91.56,0.0003,11.926813400001265
13,0.29754693912159313,91.42,0.0003,11.925312400009716
14,0.29652781500816344,91.58,0.0003,11.97213089998695
15,0.29578595343503084,91.44,0.0003,11.959820899995975
16,0.2949614187370647,91.62,0.0003,12.51809699999285
17,0.2935812922521071,91.48,0.0003,12.191548300004797
18,0.29228476036895407,91.44,0.0003,12.075376900000265
19,0.2903755258885297,91.58,0.0003,12.088244499987923
20,0.2904436611522328,91.54,0.0003,12.331893700000364
