epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.2767558879765597,1.2315651299823414,0.45190754828019575,88.04,0.001,9.533273900015047
2,0.48935653757182035,0.43756173095269635,0.517948058496822,91.64,0.001,8.907619699981296
3,0.39283633373000404,0.3461319696903229,0.46704364816492255,93.08,0.001,9.107407600007718
4,0.34814560620568014,0.3046356980453838,0.4350990819020705,93.18,0.001,8.986161100008758
5,0.32245704120722685,0.28104239167733625,0.4141464825586839,93.94,0.001,8.79982490002294
6,0.30306440039548005,0.2630080119978298,0.40056388878822324,93.92,0.001,8.757550900016213
7,0.2886572914318605,0.2499441025950692,0.38713188600973647,94.68,0.001,8.739708599983715
8,0.2759102182041515,0.2380599468751387,0.37850271158218385,94.4,0.001,8.765159100003075
9,0.2674727511622689,0.23024152638912201,0.37231223621801895,94.38,0.001,8.712097600015113
10,0.2615173290382732,0.22500518629984423,0.36512141468741677,94.78,0.001,8.779393100005109
11,0.2511851032733917,0.21516058229099622,0.36024519587863574,94.52,0.0003,8.917630499985535
12,0.24971380881829694,0.21361598649458452,0.360978218126297,94.7,0.0003,8.755763900000602
13,0.24631943770321932,0.21056869766061956,0.35750738479440863,94.68,0.0003,9.083578300022054
14,0.24421233221184124,0.2085073009447618,0.35705030911185526,94.54,0.0003,9.123119800002314
15,0.24213900801051746,0.20641625634106722,0.35722750652920116,94.82,0.0003,8.977941200020723
16,0.240410338046334,0.20494431732784618,0.3546601994817907,94.8,0.0003,11.168585199979134
17,0.23795669963576577,0.2025077919808301,0.3544890719977292,94.96,0.0003,12.359275800001342
18,0.23759015646414322,0.20240445297414605,0.3518570208679546,94.96,0.0003,10.148536900000181
19,0.2342080078450116,0.19899280163808303,0.3521520473436876,94.94,0.0003,10.511905999999726
20,0.2345973174637014,0.1995529137546366,0.3504440246972171,94.88,0.0003,9.753079900023295
