epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.24359906577197,86.44,0.001,15.622201499994844
2,0.4803848907817494,88.84,0.001,15.054621699993731
3,0.40595098552703857,89.96,0.001,14.115434000006644
4,0.3717143038142811,90.8,0.001,13.92198250000365
5,0.3500993212959983,90.88,0.001,14.593473500019172
6,0.33501322090842506,90.9,0.001,17.586639799992554
7,0.3224401336409829,91.2,0.001,17.548780999990413
8,0.31168474713238803,91.4,0.001,17.607560600008583
9,0.3029566125349565,91.52,0.001,17.612433400005102
10,0.29707156410217284,91.8,0.001,16.62304750000476
11,0.28595750782273033,91.98,0.0003,13.91062390001025
12,0.28208861595934087,91.84,0.0003,14.176856100006262
13,0.2800522552620281,91.88,0.0003,14.20693770001526
14,0.2777090374166315,91.78,0.0003,13.788332099997206
15,0.27761103268970144,91.96,0.0003,13.904675300000235
16,0.2748964867375114,91.82,0.0003,13.862835999985691
17,0.2728841033372012,91.92,0.0003,13.983690299995942
18,0.2722969451167367,92.06,0.0003,14.497178599995095
19,0.26971170615282924,91.86,0.0003,13.737853700004052
20,0.26900293091860683,92.36,0.0003,13.663641199993435
