epoch,train_loss,train_ce_loss,validation_accuracy,learning_rate,elapsed_seconds
1,0.4281151678865606,0.4281151678865606,96.24,0.001,6.731162199983373
2,0.13765072628042915,0.13765072628042915,97.6,0.001,6.122713700053282
3,0.09112870609218424,0.09112870609218424,98.1,0.001,6.091661000042222
4,0.07262538099939173,0.07262538099939173,97.88,0.001,6.181781099992804
5,0.06178967840508981,0.06178967840508981,98.32,0.001,5.969339700008277
6,0.0541628939547322,0.0541628939547322,98.46,0.001,6.0201246999786235
7,0.04840267761525783,0.04840267761525783,98.46,0.001,6.025162500038277
8,0.044063423963026566,0.044063423963026566,98.66,0.001,5.860702299978584
9,0.039475247046622364,0.039475247046622364,98.44,0.001,5.809233499981929
10,0.03630968154221773,0.03630968154221773,98.44,0.001,5.277191200002562
11,0.02823852378021587,0.02823852378021587,98.58,0.0003,4.832434499985538
12,0.026333730085058647,0.026333730085058647,98.56,0.0003,4.9374935000087135
13,0.025161271596496754,0.025161271596496754,98.58,0.0003,5.545247100002598
14,0.024576271709935232,0.024576271709935232,98.56,0.0003,5.563812999986112
15,0.02377439747506922,0.02377439747506922,98.5,0.0003,5.571706300019287
16,0.022800793812356213,0.022800793812356213,98.6,0.0003,5.52166099997703
17,0.022063535548746585,0.022063535548746585,98.48,0.0003,5.50247369997669
18,0.02153199868987907,0.02153199868987907,98.46,0.0003,5.6799263000139035
19,0.02059153009273789,0.02059153009273789,98.54,0.0003,5.581779400003143
20,0.019862292447415265,0.019862292447415265,98.48,0.0003,5.5350259999977425
