epoch,train_loss,train_ce_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.064339977975325,1.0429237922950225,95.36,0.001,8.799706699966919
2,0.19760273140560497,0.16905585777759552,96.72,0.001,8.1283738000202
3,0.1517514636624943,0.12432361983819441,97.42,0.001,8.079083899967372
4,0.12871393680355767,0.10254841255816546,97.64,0.001,8.050819199997932
5,0.11516499898433685,0.08945409126606854,97.92,0.001,8.188231399981305
6,0.10626426157951355,0.08190422395196828,98.0,0.001,8.123006500012707
7,0.09888541162447496,0.07538831950642846,98.28,0.001,7.982726700021885
8,0.09202366244684566,0.06943850334124131,98.32,0.001,7.95531489996938
9,0.08766878622553566,0.06547676232186231,98.4,0.001,7.937751699995715
10,0.08329991564100439,0.061034844957698474,98.24,0.001,7.4573711000266485
11,0.07712668868628415,0.05522655666958202,98.4,0.0003,7.712561000022106
12,0.07688071193153208,0.054984909432042726,98.26,0.0003,6.909992000029888
13,0.07570592680952766,0.05392671345743266,98.24,0.0003,7.084958999999799
14,0.07488180883364244,0.05323893992900849,98.48,0.0003,6.777346000017133
15,0.07395027814886787,0.05228776356036013,98.48,0.0003,6.550199500052258
16,0.0731114019789479,0.051451310175386344,98.44,0.0003,6.666500099992845
17,0.07227943095077168,0.05072267681563442,98.44,0.0003,6.508909400028642
18,0.07115988150184804,0.04975081466436386,98.44,0.0003,7.764251600019634
19,0.07023974617069417,0.048845852648128164,98.44,0.0003,8.134076299960725
20,0.06915180006569083,0.04774287536848675,98.5,0.0003,7.546082600019872
