epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.6221595052025535,1.5992047702095726,0.22954731039567428,88.92,0.001,10.271723599988036
2,0.4413992506547408,0.3971667125528509,0.44232537511912257,92.0,0.001,9.611001199984457
3,0.3603124797560952,0.31964190109426327,0.40670578729022633,92.56,0.001,9.69500030000927
4,0.3225277887712825,0.2847006806893782,0.37827108801061454,93.32,0.001,9.215897200047038
5,0.30110959233370693,0.2655740236304023,0.35535568918748334,93.56,0.001,8.089782600000035
6,0.2860132304841822,0.2512656989747828,0.3474753169709986,93.88,0.001,8.134060299955308
7,0.27364138632687657,0.23993580853505567,0.3370557847369801,94.14,0.001,8.015737199981231
8,0.263254687387293,0.22996305109804327,0.33291635333841496,94.42,0.001,8.065760900033638
9,0.2555558087002147,0.22273341107801958,0.32822397423657507,94.36,0.001,7.711002499971073
10,0.24870552279298955,0.2162843295249072,0.3242119343454188,94.52,0.001,7.644220400019549
11,0.23835399570031598,0.206039517250928,0.3231447732101787,94.62,0.0003,7.96838380000554
12,0.2366155896620317,0.2046938201860948,0.3192176888205788,94.42,0.0003,7.763415499997791
13,0.23411461268555034,0.2021550383611159,0.3195957377867265,94.52,0.0003,9.624279799987562
14,0.23264129048260776,0.2007781357266686,0.31863153774955055,94.46,0.0003,9.62699000001885
15,0.23131015595089305,0.19955030195929788,0.31759853848544034,94.56,0.0003,9.657730699982494
16,0.22877387625954368,0.197180914868008,0.3159296070012179,94.46,0.0003,9.56623470003251
17,0.22772036159038545,0.19625366648977452,0.31466694596463984,94.44,0.0003,9.469830700021703
18,0.2256816082607616,0.1941544990236109,0.3152710883704099,94.34,0.0003,9.356613199983258
19,0.22450402730811725,0.19322831809303978,0.3127570828784596,94.62,0.0003,9.395849900029134
20,0.22385408461744136,0.1925743282924999,0.3127975628592751,94.74,0.0003,9.358105600054841
