epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.709281931296262,1.6895102051388133,0.19771731644110246,88.22,0.001,10.498162999982014
2,0.4608731155828996,0.41846327232014047,0.424098424391313,91.56,0.001,9.457721500017215
3,0.37333682183352385,0.3341662039366635,0.3917061859260906,91.88,0.001,9.459759199991822
4,0.3368218510194258,0.2996932975248857,0.37128552906729956,93.06,0.001,9.262556699977722
5,0.311005148341439,0.2754708688779311,0.3553427999713204,93.26,0.001,8.776955100009218
6,0.2950229551445354,0.26081136298179625,0.3421159212545915,93.48,0.001,7.556100899993908
7,0.2798029420419173,0.24681838494864378,0.32984556379318236,94.16,0.001,8.362113200011663
8,0.2688507006233389,0.23643139289942655,0.32419306963140315,94.18,0.001,8.817365500028245
9,0.2590137691151012,0.22723772358027372,0.3177604493184523,94.38,0.001,8.740227600035723
10,0.25086811003685,0.21941428099328822,0.31453828203894874,94.48,0.001,8.831406399956904
11,0.23950099401040512,0.2081457946950739,0.3135519838073037,94.56,0.0003,8.842915699991863
12,0.2379197931506417,0.20674063558145003,0.3117915739839727,94.68,0.0003,8.90694810001878
13,0.23619938035661525,0.2051988679300655,0.310005120008642,94.68,0.0003,9.058863799960818
14,0.23284262344620443,0.2019261884689331,0.30916434421972794,94.66,0.0003,9.042893300007563
15,0.23141365413232284,0.2006549888784235,0.3075866515463049,94.8,0.0003,9.145554499991704
16,0.22861572518348694,0.1979114465084943,0.30704278760389847,94.46,0.0003,9.43519180000294
17,0.22685342238599604,0.1963338231390173,0.3051959960980849,94.58,0.0003,9.409996500005946
18,0.2254618069562045,0.19497021513201973,0.3049159163431688,94.58,0.0003,9.460588500020094
19,0.2236672307209535,0.1933439186074517,0.3032331264062361,94.5,0.0003,9.110418799973559
20,0.22120969461310994,0.19086287257888102,0.30346821416941555,94.58,0.0003,9.447887899994384
