epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.2123145994186402,86.52,0.001,22.274533599993447
2,0.479365535957163,88.86,0.001,20.55532949999906
3,0.40634566942561756,90.42,0.001,20.74229570000898
4,0.376447490531748,90.58,0.001,21.270022900018375
5,0.3595471547603607,90.48,0.001,21.287042200012365
6,0.35423077054890717,91.1,0.001,20.329811700008577
7,0.34800241902524776,91.0,0.001,20.339645300002303
8,0.34785834948799826,91.28,0.001,20.376476600009482
9,0.3440671230879697,90.88,0.001,20.79831050001667
10,0.33924798019582575,91.2,0.001,20.58678310000687
11,0.320460824212161,91.98,0.0003,20.390531499986537
12,0.3172853893756866,91.72,0.0003,20.985860699991463
13,0.3172890126921914,91.78,0.0003,21.6803932999901
14,0.3142321029923179,92.1,0.0003,20.302426500013098
15,0.31251281602165915,92.06,0.0003,20.31811649998417
16,0.31547083919698543,91.84,0.0003,20.317657900013728
17,0.31612434625625613,91.68,0.0003,20.35050090000732
18,0.32074470222429796,92.28,0.0003,20.266553399997065
19,0.3159996317169883,91.94,0.0003,20.240030199987814
20,0.31108769592371854,91.92,0.0003,20.24968560002162
