epoch,train_loss,train_ce_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.4323883296793158,1.422189735286886,92.2,0.001,9.330165899998974
2,0.30048784566792575,0.28177080252820796,95.62,0.001,8.158219999982975
3,0.21010144896507263,0.1907625215140256,96.74,0.001,7.438255199987907
4,0.17252994006763805,0.15324786647016353,96.9,0.001,7.45117300003767
5,0.1525956915660338,0.13350027175491505,97.14,0.001,7.376361400005408
6,0.13821830902207982,0.1191528135895729,96.86,0.001,7.418276300013531
7,0.12922647453438152,0.11028675226514989,97.22,0.001,8.48804750002455
8,0.12293150177868929,0.10430293660814112,97.8,0.001,8.333403799973894
9,0.11510928652503273,0.09649452592459593,97.6,0.001,8.20900759997312
10,0.11035890990170566,0.09189449559016662,97.74,0.001,8.256156300019938
11,0.10238166694315998,0.08411950335394253,97.78,0.0003,7.761210599972401
12,0.100790023197911,0.08247585051818328,97.82,0.0003,7.23539330001222
13,0.0992909095287323,0.08093515135700052,97.84,0.0003,7.052082100010011
14,0.09781918032711202,0.07960585418722846,97.86,0.0003,7.1105462000123225
15,0.09683244254589081,0.0786080765973438,97.9,0.0003,7.719457200029865
16,0.09538562763170763,0.07713740557974035,97.76,0.0003,8.000907199981157
17,0.09407060549042441,0.07591182202236219,97.82,0.0003,8.115837700024713
18,0.09250348359454762,0.07442820674289356,97.88,0.0003,8.051722200005315
19,0.09152916205579584,0.07351978663422845,97.84,0.0003,8.27937619999284
20,0.08949549390836195,0.07149206280383197,97.98,0.0003,8.169873900013044
