epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.096851396486976,90.54,0.001,20.713636100001168
2,0.35361322544271295,93.06,0.001,20.00215320001007
3,0.28788518466082486,93.62,0.001,19.980657599982806
4,0.25950457078326833,94.22,0.001,19.87516549997963
5,0.23949210283106023,94.58,0.001,19.868431599985342
6,0.22827206211957066,94.52,0.001,19.89734870000393
7,0.2184607111042196,94.42,0.001,19.90504549999605
8,0.2113041773817756,94.58,0.001,19.947293200006243
9,0.20527968505946073,94.72,0.001,19.919640300009632
10,0.1973762981111353,95.06,0.001,19.923724899999797
11,0.18692454107457943,94.9,0.0003,19.961085399991134
12,0.18444455745653673,95.18,0.0003,19.954896299983375
13,0.18295711481571197,95.1,0.0003,19.964964199985843
14,0.17974639559442346,95.2,0.0003,19.958518500003265
15,0.17950910706303336,95.2,0.0003,19.94988299999386
16,0.17895761093226345,94.92,0.0003,19.94735830000718
17,0.17799610786654732,94.96,0.0003,19.928363200015156
18,0.1762834672277624,94.94,0.0003,19.920203399989987
19,0.1742959002646533,95.26,0.0003,20.007718800014118
20,0.17159676108035174,95.22,0.0003,20.02984469998046
