epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,0.7551762111056934,91.78,0.001,12.001784799998859
2,0.309587355891141,94.18,0.001,10.692543500015745
3,0.24588758336630734,95.3,0.001,10.815064399997937
4,0.2034317310333252,96.58,0.001,10.618893800012302
5,0.17437450158596038,96.5,0.001,10.798009699996328
6,0.1538883344628594,97.0,0.001,10.448563199985074
7,0.1399690548354929,97.18,0.001,10.022912400017958
8,0.12725749246857382,97.26,0.001,10.936470399989048
9,0.11837425063794309,97.48,0.001,7.701279799977783
10,0.10992292182662271,97.5,0.001,8.190187999978662
11,0.10133127782778306,97.74,0.0003,11.153523999993922
12,0.09903492269082503,97.66,0.0003,10.690123799984576
13,0.09726082966110923,97.68,0.0003,10.757280299992999
14,0.09536859301545403,97.82,0.0003,8.409064800012857
15,0.09384468526623466,97.82,0.0003,10.42732730001444
16,0.09202303227565506,97.78,0.0003,10.203051600023173
17,0.09038828788128767,97.78,0.0003,9.976024600007804
18,0.08923292847004803,97.86,0.0003,10.069079500011867
19,0.08819699698036368,97.92,0.0003,10.245433899981435
20,0.08647200243256309,98.06,0.0003,10.000191500002984
