epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.3585090927904302,86.34,0.001,17.437575399992056
2,0.554803903948177,88.84,0.001,16.651603400008753
3,0.46614789993546224,89.82,0.001,16.433993899991037
4,0.42459289010221307,90.7,0.001,16.57987340001273
5,0.39950906558036803,90.74,0.001,16.941830800002208
6,0.3789584547389637,91.26,0.001,14.123423000011826
7,0.36857726536230606,91.5,0.001,15.70771839999361
8,0.3505257233663039,91.92,0.001,16.921402699983446
9,0.3373358422149311,92.04,0.001,16.891707000002498
10,0.32723154411749406,92.38,0.001,16.76156779998564
11,0.3125421347943219,92.2,0.0003,16.457738900004188
12,0.3084958365353671,92.24,0.0003,16.601615699997637
13,0.30779704096534033,92.42,0.0003,16.305700100027025
14,0.30633514298092235,92.18,0.0003,16.627797099994496
15,0.304202798279849,92.34,0.0003,16.37003900000127
16,0.30279481234550476,92.24,0.0003,16.573612600011984
17,0.30206089395176283,92.34,0.0003,16.658962699992117
18,0.29958146100044253,92.14,0.0003,16.491968599992106
19,0.2995955851988359,92.34,0.0003,14.651020999997854
20,0.296561476744305,92.22,0.0003,14.094908999977633
