epoch,train_loss,train_acc,val_loss,val_acc
1,0.6379848797971552,0.8558363636363636,0.20629897379875184,0.9478
2,0.10027454069961202,0.9771454545454545,0.11009397721290588,0.9738
3,0.06332647531249307,0.9840363636363636,0.1880781934261322,0.9308
4,0.04778457936048508,0.9874,0.10505310699939728,0.968
5,0.040587081891569225,0.9889272727272728,0.046785947066545486,0.9868
6,0.03384112278006293,0.9903272727272727,0.05221260922253132,0.9838
7,0.02924337536177852,0.9918545454545454,0.04026326645612717,0.9882
8,0.02633338877450336,0.9922545454545455,0.0438106602743268,0.9882
9,0.02360443749495528,0.9931818181818182,0.04287205109447241,0.987
10,0.01975546085563573,0.9943636363636363,0.053784880861639975,0.9854
11,0.016898044588890944,0.9955636363636363,0.02997478889375925,0.9906
12,0.014097507211565972,0.9962,0.024671116800233723,0.9924
13,0.012470814815570008,0.9970181818181818,0.02607947743907571,0.992
14,0.010944907656667585,0.9974909090909091,0.024570792538672687,0.9926
15,0.009223725167729638,0.9978363636363636,0.02334252552688122,0.9918
16,0.00806077166064219,0.9982909090909091,0.021392103995755314,0.9932
17,0.007081282071599906,0.9986,0.020021354345511645,0.9932
18,0.0063872007372027095,0.9990545454545454,0.020035053927078845,0.9936
19,0.005791643305664713,0.999109090909091,0.01990076154023409,0.9934
20,0.005750814905898138,0.999109090909091,0.01933299786467105,0.994
