epoch,train_loss,train_acc,val_loss,val_acc
1,0.9215238447709517,0.8106909090909091,0.35751900000572207,0.9304
2,0.21949621490565213,0.9553636363636364,0.18992108376026154,0.9526
3,0.13663713575493205,0.9677818181818182,0.16222335448265077,0.954
4,0.10337742832790721,0.9734727272727273,0.11886506575345993,0.9682
5,0.08511858569925482,0.9780727272727273,0.1016288549900055,0.9716
6,0.07331993410804055,0.9802363636363637,0.11980542129278184,0.9628
7,0.06375371137749065,0.9831090909090909,0.08290505914688111,0.9754
8,0.05843323357538743,0.9839272727272728,0.08183383064866066,0.9758
9,0.05166516157497059,0.9861090909090909,0.07798548202514649,0.9766
10,0.04690458597703413,0.9875090909090909,0.07073681769371033,0.9794
11,0.0431320894501426,0.9885636363636363,0.06542899950146674,0.98
12,0.04026847721202807,0.9896727272727273,0.06594100084304809,0.979
13,0.037762208317084746,0.9906,0.06082478509545326,0.9818
14,0.036868185823613946,0.9905636363636363,0.058925747665762904,0.982
15,0.0359573495648124,0.9911272727272727,0.05799343360066414,0.9814
