epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.2683539523211393,84.88,0.001,21.239136200019857
2,0.50391179060069,87.76,0.001,20.402693199983332
3,0.41884496937231586,89.12,0.001,21.439179700013483
4,0.37914949746565385,90.42,0.001,20.253455400001258
5,0.35925800333890046,91.26,0.001,22.74509099998977
6,0.34935765885439785,91.28,0.001,20.489607899973635
7,0.33589362372051584,91.6,0.001,20.166821599996183
8,0.3336764051697471,91.84,0.001,20.735337599995546
9,0.32375547481883654,92.16,0.001,20.273673699994106
10,0.3177681663079695,92.14,0.001,20.3679998999869
11,0.29740143802816216,92.02,0.0003,20.248623100022087
12,0.29520108300555836,92.04,0.0003,20.113898000010522
13,0.2939710923585025,92.2,0.0003,20.209482000005664
14,0.2959589192693884,91.68,0.0003,20.26702070000465
15,0.2958323558633978,92.52,0.0003,20.483178900001803
16,0.2976951403942975,92.1,0.0003,20.831865300016943
17,0.3002391612399708,92.56,0.0003,21.253655699983938
18,0.30106082712303506,92.3,0.0003,20.792040699976496
19,0.2997021204861728,92.52,0.0003,21.09234629999264
20,0.29736137890815734,92.2,0.0003,24.416384699987248
